O*NET-SOC Code,Title,ANALYTICAL,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Learning Strategies,Complex Problem Solving,Operations Analysis,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
47-4021.00,Elevator Installers and Repairers,NA,2.75,2.88,3.38,3.13,3.13,3.25,3,3.93,4.28,3,3,2.25,3.12,1.88,3.61,3.18,4.84,4.16,5.49,3.05
43-4061.00,"Eligibility Interviewers, Government Programs",NA,2.75,2.75,3.5,3.88,3.75,3.25,3,3.11,3.56,3.75,3,2.38,3,0.12,2.48,4.1,3.66,2.54,4.53,2.04
39-4011.00,Embalmers,0,2.62,2.5,3.25,3.25,3,3.38,2.88,3.67,3.94,3.38,3.12,2.62,2.88,1.88,3.68,3.17,4.61,3.55,5.06,2.38
11-9161.00,Emergency Management Directors,1,4.25,3.88,4.5,4.38,4.25,4,3.75,3.76,4.28,4.38,4.38,3.88,5.25,3.25,4.29,4.32,5.92,4.92,5.24,5.16
29-2041.00,Emergency Medical Technicians and Paramedics,NA,3,3,4.12,4,4,3.88,3.38,3.7,4.18,4,4,3.38,3.25,2.38,3.65,3.5,5.06,3.53,5.49,3.06
31-9099.02,Endoscopy Technicians,NA,2.25,2,3.38,3.12,3,3.25,3.12,3.55,3.84,3.25,3,2.38,2.62,0.25,3.65,3.11,4.47,2.89,5.14,2.57
13-1199.01,Energy Auditors,NA,3.62,3.12,3.88,3.88,3.88,3.62,3.5,3.36,4.32,3.75,3.25,3,3.25,3,3.23,4.09,4.32,3.55,4.59,2.59
41-3099.01,Energy Brokers,NA,3.12,2.75,3.5,4.12,3.75,3.5,3.38,3.5,4.56,4.12,3.5,2.75,3.12,0.88,3.42,4.61,4.5,3.45,5.01,3.64
17-2199.03,Energy Engineers,NA,3.62,3.62,4.12,4.12,4.12,4,3.75,4.18,4.73,4.12,3.88,3,4,3.88,4.14,5.48,5.45,5.41,5.23,4.27
51-2031.00,Engine and Other Machine Assemblers,NA,2,2,3,3,3,3,3,3.83,3.75,3,2.25,2,2.25,0.75,2.84,2.21,3.52,3.28,4.25,2.02
25-1032.00,"Engineering Teachers, Postsecondary",NA,3.75,3.88,3.88,4.12,4,3.88,3.75,4.62,4.84,4.12,3.75,4,3.38,2.88,3.75,4.52,4.71,5.8,5.82,4.51
25-1123.00,"English Language and Literature Teachers, Postsecondary",1,4,4,3.62,4,4,3.62,3.62,4.31,4.59,4.12,3.88,4.62,3.62,2.12,4.84,4.6,4.78,5.74,5.41,4.52
13-1041.01,Environmental Compliance Inspectors,NA,3.12,2.88,4.88,4.62,4.62,4,4,2.71,4.29,4.25,4.12,3.5,4,2.38,3.52,4.52,4.24,3.29,5.19,3.1
19-3011.01,Environmental Economists,1,3.75,3.62,4.12,4,4.12,3.38,3.38,4.37,5,4.25,3.88,3.75,3.75,1.88,5.11,6.68,5.25,6.07,5.93,4.04
17-3025.00,Environmental Engineering Technicians,NA,3.12,3,4.12,3.88,4,4,4,2.98,3.8,4,3.88,3,3.38,3,3.35,3.72,3.88,2.97,3.9,2.85
17-2081.00,Environmental Engineers,NA,3.62,3.88,4.5,4.25,4.5,4,3.88,3.81,4.63,4.38,4.12,3.5,4.25,1.88,4.81,5.69,5.62,5.19,5.73,4.8
19-2041.02,Environmental Restoration Planners,NA,3.5,3.62,4,3.88,4.12,3.5,3.62,3.76,4,4,3.62,3.25,3.75,2.25,4,4.67,5.19,4.86,4.86,4.57
19-4091.00,"Environmental Science and Protection Technicians, Including Health",NA,2.88,3,3.88,3.88,3.88,3.75,3.75,3,4.19,3.75,3.12,3.12,3.38,3,4.05,4.24,4.43,3.1,4.86,2.95
25-1053.00,"Environmental Science Teachers, Postsecondary",NA,3.25,3.5,3.38,4,4,3.62,3.5,4.32,4.91,4.12,4,4.12,4.12,3.12,4.86,4.96,5.56,5.49,5.37,4.42
19-2041.00,"Environmental Scientists and Specialists, Including Health",NA,3.88,3.62,4.62,4.12,4.62,3.75,3.75,3.36,4.36,4.12,4,3.88,4,3.38,4.42,4.92,5.09,3.53,5.47,3.72
19-1041.00,Epidemiologists,NA,4.12,3.88,4.75,4.62,4.88,3.88,4.38,3.8,4.73,4.75,4.62,3.62,4.38,3.62,3.66,6.37,5.63,4.97,5.53,4.5
13-1041.03,Equal Opportunity Representatives and Officers,NA,3.75,3.5,4.12,4.38,4,3.75,3.5,3.13,4.48,4.5,4,3.38,3.62,1.88,4.54,5.29,5.15,4,5.08,3.24
51-9194.00,Etchers and Engravers,0,2.62,2.5,3,3,2.88,3.12,3,3.5,3.72,3.12,2.25,2,2.25,1.62,3.37,2.93,3.68,3.8,3.69,2.24
53-7032.00,Excavating and Loading Machine and Dragline Operators,NA,2.12,2.12,3.12,3,2.88,2.88,2.88,3.19,2.99,3,2.88,2.25,2.88,1.62,3.91,3.22,4.24,3.63,4.18,3.39
43-6011.00,Executive Secretaries and Executive Administrative Assistants,0,3,3,3,3.12,3.12,3.12,3.12,3.51,3.52,3.75,3.12,3,3,0.88,3.2,3.13,3.81,3.85,4.94,2.79
29-1128.00,Exercise Physiologists,NA,3.5,3.62,4.38,4.25,4.5,3.75,3.62,3.57,3.79,4,3.75,3.88,3.5,1.62,3.57,4.33,4.58,4.62,5.38,3.79
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",NA,3,3,3.88,3.75,3.75,4,3.38,3.42,3.96,3.5,3.12,2.88,3.25,1.88,4.71,4.08,5.42,4.13,5.33,3.25
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",NA,2,2,2.88,3,2.62,3,2.88,3.03,2.94,2.75,2.25,2.12,2.62,1.38,3.27,2.71,3.83,3.45,3.44,1.93
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",NA,2.25,2.25,3.25,3.25,3.25,2.75,2.5,2.95,3.19,2.88,2.62,2,2.88,1.38,4.71,3.68,5.42,2.46,3.67,2.2
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",NA,2,2,2.88,2.88,2.88,3.12,3,3.55,3.37,2.75,2.12,2,2.75,1,3.24,2.84,3.94,2.97,3.66,1.85
51-6092.00,Fabric and Apparel Patternmakers,NA,3.62,3.88,3.38,3.62,3.25,3.75,3.75,4.14,4.06,3.38,3,3,3,2.75,2.84,3.27,3.86,4.42,4.07,2.71
49-9093.00,"Fabric Menders, Except Garment",0,2,1.88,2.25,2.5,2,2.5,2.62,3.66,3.39,2.38,1.62,0.12,2.38,0.88,2.13,1.47,2.39,2.11,1.41,1.21
45-4021.00,Fallers,0,1.5,1.75,3.13,3,2.75,2.75,2.63,3.18,3.31,3,2,0.75,2.5,1.38,2.45,1.34,3.94,0.89,2.59,1.92
29-1062.00,Family and General Practitioners,NA,3.12,3.38,5.38,4.38,5.12,3.5,3.5,3.11,4.61,4.38,4,3.38,4.12,2.88,4.23,4.42,5.36,3.77,5.32,3.64
25-9021.00,Farm and Home Management Advisors,NA,4.12,4.12,4.12,4.25,4.25,4,3.75,3.9,4.14,4.12,4.5,4.25,3.88,2.75,3.83,4.48,4.9,4.34,5.55,4.36
11-9013.02,Farm and Ranch Managers,NA,3.25,3.38,4.12,4.12,3.88,3.5,3.62,4.06,3.64,4.12,3.5,3.38,3.5,2.25,3,3.92,4.9,4.7,4.65,4.91
49-3041.00,Farm Equipment Mechanics and Service Technicians,NA,2.62,2.12,3.12,3.25,3.12,3.25,3.12,3.76,3.97,3.62,3,2.62,3,0.88,3.6,3.04,4.39,4.02,4.25,3.02
13-1074.00,Farm Labor Contractors,NA,2.12,2,3.25,2.88,2.88,2.75,2.5,2.97,3.31,3.25,2.38,2.12,2.75,0.5,2.83,2.42,2.92,1.77,1.82,1.57
45-2092.02,"Farmworkers and Laborers, Crop",0,1.75,1.75,2.88,2.5,2.5,2.5,2.75,2.75,2.31,2.75,2.38,2.38,2.5,0.5,1.38,0.84,1.38,1.77,2.26,1.89
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",NA,2.25,2,3.25,3.25,2.88,2.75,2.75,2.92,2.51,2.88,2.38,2.38,2.38,0.25,3.44,2.67,3.76,3.32,3.07,2.65
27-1022.00,Fashion Designers,NA,3.88,4.38,3.25,3.63,3.38,3.38,3.63,4.69,3.89,3.62,3.38,3.12,3.38,3.38,5.26,3.2,5.74,6.41,5.32,5.11
47-4031.00,Fence Erectors,0,1.88,1.88,2.88,2.5,2.63,2.88,2.38,3.02,2.85,2.62,2.25,2,2.62,1.38,2.39,2.21,3.39,2.95,3.17,2.18
51-2091.00,Fiberglass Laminators and Fabricators,NA,2.63,2.38,2.88,2.88,2.88,3.13,3.13,3.25,3.38,2.88,2.75,2.75,2.75,0.25,4.14,3.27,4.8,4.22,4.59,3.51
43-4071.00,File Clerks,0,2.62,2.75,3,2.88,2.88,3,3.5,3.27,3.56,3,2.25,2.12,2.25,1.12,2.89,2.76,3.65,3.16,4.03,2.22
27-4032.00,Film and Video Editors,NA,3.38,3.5,3.25,3.38,3.5,3.88,3.62,3.84,3.61,3.25,3.12,2.75,3.12,2,3.29,2.99,3.62,4.65,4.54,2.11
13-2051.00,Financial Analysts,1,3.5,3.12,4,4.38,3.88,3.62,3.5,3.69,4.99,4.12,3.88,2.75,3.62,2.12,4.16,5.86,5.17,5.29,4.91,3.55
13-2061.00,Financial Examiners,NA,3.62,3.5,4.25,4.62,4.12,3.88,3.75,3,4.64,4.5,4,3.88,4,3.12,4.44,5.56,5.48,4,5.24,4.04
11-3031.02,"Financial Managers, Branch or Department",NA,3.62,3.75,4,4.38,3.75,3.88,3.5,3.33,3.87,4,4,4,3.5,2.5,4,4.29,4.77,4.62,4.66,3.77
13-2099.01,Financial Quantitative Analysts,1,4,3.5,4.12,4.62,4.75,3.88,3.62,3.96,4.91,4.62,4,3.25,4.12,1.5,3.78,6.61,5.65,5.39,5.57,4.7
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",NA,4.12,4.62,3,3,3,3,3.25,4,3.61,3.25,3.38,2.38,2.88,2.75,2.77,2.4,3.67,5.82,4.36,1.31
33-2021.01,Fire Inspectors,NA,3,2.88,4.5,3.88,4,3.88,3.88,3.43,3.78,4,3.75,3,3.62,2.75,3.74,3.96,4.07,3.02,5.08,3.67
33-2021.02,Fire Investigators,NA,3.5,3,4.25,4.25,4.38,4,3.88,3.68,4.42,4.12,3.5,3,3.38,0.12,4.81,5.05,5.74,4.08,5.74,3.48
17-2111.02,Fire-Prevention and Protection Engineers,NA,4,4,4.38,4.38,4,3.88,3.88,3.5,4.32,4.12,4,3.62,4,4,4.04,5.04,5.36,5,5.36,3.96
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,NA,3,2.5,3.75,3.12,3.12,3,3,4,4.04,3.12,3,3,3.12,2.75,3.91,3.29,4.19,3.12,3.96,3.41
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,NA,2.88,3,4,3.75,3.12,3.12,3.12,3.26,3.55,3.75,3.5,3.38,3,2.12,3.95,3.13,3.78,2.63,3.7,3.03
45-1011.06,First-Line Supervisors of Aquacultural Workers,NA,3.25,3.12,4.12,4,3.5,3.38,3.38,3.78,3.72,3.88,3.75,3.38,3.38,2.88,4.01,4.04,4.95,4.17,4.67,4.22
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,NA,3,3.12,3.25,3.62,3.25,3.12,3,3.81,4.01,3.25,3,3,3,2.88,3.83,3.18,4.39,3.92,4.23,3.67
33-1011.00,First-Line Supervisors of Correctional Officers,NA,3.12,3.25,4,3.88,3.88,3.12,3,3.67,3.9,4,3.12,3.38,3.12,2.12,4.13,3.59,5.13,4.22,4.52,3.53
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,NA,3,3,3.12,3.12,3,3.12,3,3.29,3.54,4,3.25,3.12,3,1.62,2.89,2.63,3.62,2.9,3.59,2.4
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",NA,3,3,3.75,3.75,3.25,3.62,3.12,3.99,3.87,3.75,2.88,3.38,3.12,1.88,3.24,2.74,3.82,3.19,3.1,2.49
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,NA,2.75,2.38,2.88,3,3,3,2.88,3.61,3.52,3.12,2.88,3,2.62,1.88,3.22,2.12,3.24,2.53,3.05,2.57
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA,3,3.12,3.12,3.25,3.12,3.12,3,3.97,3.72,3.75,3,3.12,3.25,2.12,3.87,2.52,4.61,4.37,4.38,4.13
45-1011.05,First-Line Supervisors of Logging Workers,NA,3,3,4,3.88,3.88,3.5,3,3.21,3.5,3.62,3,3,3.75,2.88,3.84,3.06,4.45,3.33,3.95,2.95
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",NA,3.5,3.5,4,4,3.75,3.75,3.62,3.95,4.08,3.88,3.88,3.75,3.62,2.62,4.12,3.41,4.45,3.57,4.71,3.45
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,NA,3.62,3.5,3.38,4,3.75,3.38,3.25,3.43,4.05,3.88,3.62,3.62,3.75,2.62,5.45,4.81,5.54,5.09,4.04,4.58
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,NA,3,3.38,3.62,3.62,3.25,3.25,3,3.62,4.03,3.88,3.75,3.75,3.25,2.5,3.85,4.03,4.21,3.81,4.2,3.31
39-1021.00,First-Line Supervisors of Personal Service Workers,NA,3.12,3.12,3.88,3.5,3.25,3,3,4.15,4.08,3.75,3,3,3.12,1.38,3.59,2.01,3.83,3.75,3.79,2.01
33-1012.00,First-Line Supervisors of Police and Detectives,NA,3.62,3.38,4,4.12,4,3.75,3.62,3.55,4.13,4.12,3.88,3.88,4,2.62,4.43,4.64,5.48,4.39,5.3,4.4
51-1011.00,First-Line Supervisors of Production and Operating Workers,NA,3.25,3.5,3.62,4,3.75,3.62,3,3.46,3.92,3.88,3.25,3.25,3.5,3,3.04,2.87,3.89,3.07,3.91,2.27
41-1011.00,First-Line Supervisors of Retail Sales Workers,NA,3.12,3.12,3.62,3.62,3,3.12,3,4.1,4.09,3.88,3.38,3.5,3.5,2.12,3.22,3.48,4.01,2.89,3.5,2.3
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,NA,3,3.12,3.5,3.5,3.25,3.62,3,3.42,3.76,3.5,3.12,3,3.5,2.88,3.47,2.94,4.51,3.99,4.72,3.03
33-3031.00,Fish and Game Wardens,NA,3,3,4.12,3.75,4,3.12,3.12,3.74,3.68,4,3.5,3,3.25,2.5,3.88,4.12,5.78,4.78,5.12,4.39
45-3011.00,Fishers and Related Fishing Workers,NA,2.38,2.25,3,3,2.88,2.88,2.88,3.21,3.06,3,2.5,2.5,2.62,1,2.77,1.51,2.9,2.52,2.38,1.6
11-9039.02,Fitness and Wellness Coordinators,NA,3.5,3.75,3.88,4,3.5,3.25,3.38,3.83,3.46,3.88,3.5,3.5,3.12,1,3.88,3.62,4.29,4.21,4.62,3.5
39-9031.00,Fitness Trainers and Aerobics Instructors,NA,3,3.12,2.88,2.88,2.88,3,2.88,3.96,3.28,3,2.88,3.5,2.75,2.62,2.08,2.08,3.08,4.04,4.56,2.84
53-2031.00,Flight Attendants,0,2.12,2,3.88,3.5,3,3,2.62,3.81,3.78,3.75,2.62,2.38,2.75,1,2.56,1.56,4.54,2.79,3.76,1.23
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",NA,2.13,2.13,2.63,3,2.88,3,2.63,3.39,3.3,2.88,2.5,1.88,2.5,1.38,3.53,3.25,4.22,3.78,3.85,2.9
47-2043.00,Floor Sanders and Finishers,NA,1.88,1.88,2.62,2.5,2.25,2.5,2.62,2.84,3.01,2.38,2.38,1.88,2.5,0.62,3.11,1.63,3.88,2.89,3.21,1.16
27-1023.00,Floral Designers,NA,3.38,3.12,2.75,3.12,2.88,3.12,3.12,3.87,3.51,3.38,2.88,2.12,2.62,2.75,3.54,2.54,2.46,4.16,3.41,2.5
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",NA,2.12,2.12,3.12,2.88,2.88,3,3.12,3.03,3.04,3,2.62,2.5,2.75,1.5,2.66,2.92,4.5,2.96,3.03,3
51-3092.00,Food Batchmakers,NA,1.62,1.5,3,3,2.75,3.38,3,2.9,3.45,3,2.25,1.75,2.75,2.12,3.36,2.18,3.66,2.6,3.29,1.95
51-3093.00,Food Cooking Machine Operators and Tenders,NA,2,1.38,3,3,2.88,3,3,3.32,4.01,2.38,2.38,2,2.12,0.88,3.02,2.98,3.37,2.21,3.26,2.27
35-2021.00,Food Preparation Workers,NA,2,2.12,2.25,2.12,2.12,2.5,2.62,2.99,3.17,2.12,2.12,2.12,2.12,0.25,3.11,2.49,3.19,3.19,3.27,2.32
19-4011.02,Food Science Technicians,NA,2.88,2.38,3.25,3.5,3.5,3.12,3.12,3.14,3.8,3.62,3.25,2.88,3,0.88,3.64,4.45,4.45,3.46,4.83,3.47
19-1012.00,Food Scientists and Technologists,NA,3.75,3.62,4.12,4.12,4.38,3.75,4.12,3.85,4.31,4.25,3.88,3.12,4,1.5,4.27,5.27,5.19,5.31,5.19,4.19
35-3041.00,"Food Servers, Nonrestaurant",0,1.88,1.75,2.5,2.38,2.38,2.25,2.12,2.86,2.8,2.12,1.75,1.62,1.62,0.5,2.42,1.36,2.33,2.07,2.2,1.26
11-9051.00,Food Service Managers,NA,3.12,3,3.75,3.5,3,3.12,3.12,3.59,3.64,3.75,3.75,3.25,3,2.38,2.5,2.51,2.37,2.15,2.91,1.93
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",NA,3.62,3.5,3.5,4,3.75,3.25,3,4,4.12,4,4.12,4.38,3.5,2.62,4.4,4.68,4.23,5.49,5.58,3.75
19-4092.00,Forensic Science Technicians,NA,4,3.38,4.25,4.62,4.12,4,4.12,3.77,4.47,4,3.62,3.38,3.62,1.62,2.27,3.3,3.9,3.18,5.21,2.46
19-4093.00,Forest and Conservation Technicians,NA,2.88,2.88,3.75,3.75,3.25,3.5,3.12,3.29,3.7,3.38,3,3,3,1.12,3.51,3.81,4.92,3.87,4.87,4.45
45-4011.00,Forest and Conservation Workers,NA,2.38,2.25,3.38,3,3.12,3.12,3,3.38,3.68,3.12,2.62,2.62,2.75,1.5,3.73,4.18,4.74,4.52,4.69,4.28
33-1021.02,Forest Fire Fighting and Prevention Supervisors,NA,3.62,3.25,4.38,4.25,4.12,3.75,3.62,3.48,4.18,4,3.88,3.38,4,3,4.09,3.07,5.72,4.35,4.95,4.62
33-2022.00,Forest Fire Inspectors and Prevention Specialists,NA,3.13,3.25,4,3.63,3.63,3.13,3.38,3.08,2.19,3.62,3.25,2.5,3.25,1.38,4.4,4.41,4.8,4.46,5.36,5.37
33-2011.02,Forest Firefighters,NA,3,3,4,3.62,3.5,3.25,3.12,3.69,3.96,3.62,3,3,3,0.25,3.91,3.91,4.12,2.94,4.29,3.55
19-1032.00,Foresters,NA,3.75,4,4.12,3.88,3.88,3.88,4.12,3.34,3.89,4.25,3.62,3,4.12,2.75,4.49,4.23,4.36,3.84,4.8,3.91
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",NA,3.62,3.75,3.62,4.12,4.12,3.38,3.25,4.37,4.58,4.12,4.25,4.25,4,2.75,4.45,5.63,4.88,5.89,5.57,4.19
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",NA,2.12,2.12,3,3,3,3,3,3.75,3.4,2.88,2.12,2.25,2.75,1.12,2.89,2.25,3.42,3.19,3.46,1.98
51-4071.00,Foundry Mold and Coremakers,NA,1.25,1.25,2.75,2.12,2.12,2.62,2.5,3.07,3.32,2.5,1.75,1.38,2,0.88,2.82,2.22,3.31,2.28,2.53,2.07
13-2099.04,"Fraud Examiners, Investigators and Analysts",1,3.5,3.12,3.88,4.12,4.12,3.88,3.25,3.84,4.5,4.12,3.5,3,3.5,0.38,4.48,5.17,4.96,4.64,5.36,4
53-6051.08,Freight and Cargo Inspectors,NA,2.38,2.38,3.62,3.25,3.5,3.38,3.38,3.54,4.05,3.25,2.88,2.5,3,1.75,4.81,4.37,5.21,3.34,5.16,1.93
43-5011.01,Freight Forwarders,NA,3,2.75,3.38,3.5,3.25,3.12,3.25,3.41,3.74,3.38,3.12,3,3.12,1,3.53,3.86,4.26,3.09,4.21,3.1
17-2141.01,Fuel Cell Engineers,NA,4.12,3.75,4.25,4.12,4.12,3.75,3.5,4.33,4.46,4.12,3.75,3.12,3.5,3.12,4.12,5.67,5.09,5.62,5.67,4.62
13-1131.00,Fundraisers,NA,3.62,3.5,3.25,4.25,3.62,3.62,3.38,3.45,3.78,3.88,3.25,2.75,3.25,1.25,4.12,4.25,4.68,4.25,4.56,4.53
39-4021.00,Funeral Attendants,0,1.62,1.5,2.62,2.5,2.5,2.75,2,2.79,3,2.75,1.5,1.38,2,0.75,3.97,3.4,4.47,3.9,4.1,3.31
11-9061.00,Funeral Service Managers,NA,3,2.62,3.38,3.12,3.12,3.12,3,3.36,3.33,3.62,3,3,3,0.62,3.46,2.56,4.04,2.76,3.82,2.2
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0,1.5,1.12,3.12,2.88,2.88,3,3,3.22,3.01,3,2.38,1.5,2.62,0.62,3.69,2.71,4.28,2.98,3.87,2.25
51-7021.00,Furniture Finishers,0,2.88,2.88,2.88,3,3,3.12,3.12,3.76,3.56,3.12,2.75,2.25,2.75,2,3.6,2.55,4.02,3.39,3.53,2.55
39-3012.00,Gaming and Sports Book Writers and Runners,NA,2.12,1.75,2.88,3.12,2.75,3.12,2.75,2.7,3.07,2.88,2.5,2.12,2.25,0.12,2.13,1.94,3.46,2.26,3.57,1.45
43-3041.00,Gaming Cage Workers,NA,2,1.5,3.25,3.12,3.12,3,3,2.54,2.96,3.25,2.25,2.12,2,0.12,2.37,1.97,2.9,1.56,3.47,1.22
41-2012.00,Gaming Change Persons and Booth Cashiers,NA,1.88,1.62,3,2.75,2.62,2.62,2.88,2.47,2.88,2.75,2,1.75,2.25,0,2.78,1.99,3.13,1.89,2.84,1.46
39-3011.00,Gaming Dealers,NA,2.5,2.25,3,3.12,3,3.12,3,2.35,2.74,2.88,2.5,2.38,2.38,0,3.45,2.2,3.41,2.53,2.95,1.81
11-9071.00,Gaming Managers,NA,3,3,3.88,4,3.88,3.62,3.25,3.71,3.77,4,3.62,3.62,3.25,2,4.12,4.16,4.75,3.75,4.31,3.05
39-1011.00,Gaming Supervisors,NA,2.88,3,4,3.12,3.62,3,2.88,2.9,3.52,3.88,3.5,2.62,3,0.75,2.45,2.19,3.11,1.93,3.37,1.68
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,NA,2.25,2.25,3.88,3.25,3.62,3,2.38,3.84,4.04,3.75,3,2.62,2.25,0.88,4.52,4.21,4.97,3.99,5.34,3.8
53-7071.00,Gas Compressor and Gas Pumping Station Operators,0,2.25,2.12,3.25,3.25,3.12,3,3,3.44,4.09,3,2.38,2.38,3,0,4.45,4.43,5.2,3.52,4.75,2.51
51-8092.00,Gas Plant Operators,NA,2.75,2.5,3.63,3.5,3.38,3.25,2.88,3.7,4.28,3.38,3.12,2.5,3.12,1.38,2.55,2.74,4.45,3.31,4.24,1.83
51-9071.06,Gem and Diamond Workers,NA,2.5,2.75,2.88,3.12,3.12,2.75,3.5,3.28,3.47,3.12,2.62,2.12,2.62,2.38,4.44,2.23,3.41,3.97,3.52,1.89
11-1021.00,General and Operations Managers,1,3.25,3.38,3.88,3.75,3.38,3.62,3,3.65,4.03,4,3.62,3.25,3.75,3.12,4.43,3.64,4.48,3.78,4.53,3.77
29-9092.00,Genetic Counselors,NA,3.25,3.12,4,4.62,4.62,4,3.5,3,4.13,4.12,3.88,3.25,3.75,0.38,3.52,4.65,4.7,3.39,6.04,2.91
19-1029.03,Geneticists,1,4.12,4.25,4.5,4.5,5,4.12,4,3.9,4.62,4.25,3.88,4,3.88,1.12,3.53,5.23,5.5,4.97,6.07,3.9
17-1022.01,Geodetic Surveyors,NA,3.25,3.12,3.75,4,4.12,4,3.75,3.35,4.5,4,3.88,3.5,3.88,1.75,4.5,5.85,5.45,4.6,5.75,3.75
19-3092.00,Geographers,NA,3.62,3.62,3.88,4.12,4.12,3.88,4,3.65,4.48,4,3.88,3.62,3.88,2.75,4.09,6,4.83,4.91,5.26,3.74
15-1199.05,Geographic Information Systems Technicians,1,3.38,3.25,3.38,4,3.62,4,3.75,4.6,4.72,3.88,3.62,3,3.5,2.88,3.76,5.82,4.31,5.03,5.83,4.13
25-1064.00,"Geography Teachers, Postsecondary",NA,3.62,3.62,3.38,4.12,4,3.5,3.5,4.45,4.61,4.12,4.25,4.12,3.62,2.88,4.42,5.84,5,5.91,5.73,3.98
19-4041.02,Geological Sample Test Technicians,NA,3,3,3.75,3.88,4,3.88,3.62,2.85,3.81,3.75,3.12,2.88,3,2.38,3.38,4.38,3.48,3.71,4.38,2.65
19-4041.01,Geophysical Data Technicians,1,2.25,2.63,3.13,3.25,3.13,3.25,3.25,3.87,4,3,2.62,2,3,2.25,3.39,3.8,3.12,3.23,4.84,2.51
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",NA,3.88,3.25,4.12,4.25,4.38,4,4.25,3.92,4.58,4.12,3.62,3.38,4.12,3,4,6.21,5.62,5.54,5.71,4.58
15-1199.04,Geospatial Information Scientists and Technologists,NA,3.38,3.25,3.88,4,4,4,3.75,3.74,4.39,4,3.75,3.12,3.88,3.5,4.22,5.52,5.3,5.09,5.87,4.13
11-3051.02,Geothermal Production Managers,NA,3.38,3.25,4.12,4,3.38,3.62,3.5,4.35,4.41,3.88,3.25,3.38,3.62,2.38,4.92,4.7,5.02,4.55,4.85,3.76
49-9099.01,Geothermal Technicians,NA,2.75,2.75,3.5,3.38,3.38,3.25,3.38,3.66,3.93,3,2.88,2.38,3,1.5,3.54,3.72,4.11,4.28,4.63,3.17
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",NA,2.88,2.75,3,2.88,2.88,3,3,3.32,3.46,3,2.88,2.38,2.75,1.62,2.3,2.86,2.73,2.65,2.83,1.84
47-2121.00,Glaziers,NA,2,1.75,2.88,2.75,2.88,3,2.75,3.44,3.35,2.88,2.12,1.88,2.38,1.62,3.09,2.45,3.48,3.1,2.53,1.95
13-1041.04,Government Property Inspectors and Investigators,NA,3.38,3,4.25,4.25,4.25,4,3.75,3.43,3.81,4.12,3.38,3.12,3.38,1.25,4.04,3.71,4.73,3.53,4.31,4.01
45-2041.00,"Graders and Sorters, Agricultural Products",NA,0.5,0.62,2.25,2.12,2,1.88,2.62,1.88,2.32,2.25,1.5,0.88,1.62,0,3.18,2.07,2.51,2.48,2.12,1.18
25-1191.00,Graduate Teaching Assistants,NA,3.25,3.25,3.12,3.75,3.38,3,3,3.56,3.62,3.38,3.12,3.5,3.12,2,3.6,3.36,3.77,4.12,4.07,2.9
27-1024.00,Graphic Designers,NA,4,3.88,3.12,3.25,3.12,3.38,3.12,4.46,3.85,3.62,3.12,2.75,3,3.12,3.31,3.35,4.19,5.88,5.54,3.27
51-9022.00,"Grinding and Polishing Workers, Hand",NA,2.12,2,3,2.88,2.75,2.88,2.88,3.05,3.34,2.88,2.25,2,2.5,0.75,3.55,2.2,4.04,2.86,3.46,3.1
